[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3120
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3150
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3180
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3210
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3240
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3270
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3300
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3330
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3360
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3390
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3420
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3450
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3480
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3510
[20:09:15] 144.167.223.232 | SYN_FLOOD | Score: 3540
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3570
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3660
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3630
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3600
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3690
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3720
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3750
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3780
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3810
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3870
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3840
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3900
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3930
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3990
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4020
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 3960
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4050
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4080
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4110
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4140
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4170
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4200
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4230
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4260
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4290
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4320
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4350
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4380
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4440
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4410
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4500
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4470
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4560
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4620
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4590
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4650
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4680
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4710
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4740
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4800
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4770
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4860
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4830
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4890
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4920
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4980
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 4950
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 5010
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 5040
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 5070
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 5100
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 5160
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 5130
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 5190
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 5220
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 5250
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 5310
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 5280
[20:09:16] 144.167.223.232 | SYN_FLOOD | Score: 5340
[20:09:18] 144.167.223.232 | SYN_FLOOD | Score: 5400
[20:09:19] 144.167.223.232 | SYN_FLOOD | Score: 5520
[20:09:19] 144.167.223.232 | SYN_FLOOD | Score: 5490
[20:09:19] 144.167.223.232 | SYN_FLOOD | Score: 5550
[20:09:19] 144.167.223.232 | SYN_FLOOD | Score: 5580
[20:09:21] 144.167.223.232 | SYN_FLOOD | Score: 5610
[20:09:21] 144.167.223.232 | SYN_FLOOD | Score: 5700
[20:09:21] 144.167.223.232 | SYN_FLOOD | Score: 5760
[20:09:21] 144.167.223.232 | SYN_FLOOD | Score: 5730
[20:09:21] 144.167.223.232 | SYN_FLOOD | Score: 5820
[20:09:23] 144.167.223.232 | SYN_FLOOD | Score: 5880
[20:09:23] 144.167.223.232 | SYN_FLOOD | Score: 5940
[20:16:05] 144.167.223.232 | ARP_SPOOF | Score: 6190
[20:16:05] 144.167.223.232 | ARP_SPOOF | Score: 6090
[20:16:05] 144.167.223.232 | ARP_SPOOF | Score: 6040
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6360
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6270
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6390
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6300
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6600
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6540
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6510
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6630
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6570
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6690
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6750
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6810
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6930
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6960
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6900
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7050
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 6990
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7080
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7110
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7200
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7140
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7170
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7020
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7230
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7410
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7350
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7440
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7320
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7260
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7380
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7470
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7590
[20:19:17] 144.167.223.232 | SYN_FLOOD | Score: 7680
